X,palabras.word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,grupo_palabras
112,deseoso,0,1,0,0,0,0,0,0,0,1,1
113,aprender,0,0,0,0,0,0,0,0,0,1,1
114,adivinaba,0,0,0,0,0,0,0,0,0,0,1
115,futuro,0,0,0,0,0,0,0,0,0,0,1
116,gran,0,0,0,0,0,0,0,0,0,0,1
117,sabio,0,0,0,0,0,0,0,0,0,1,1
118,sacerdote,0,0,0,0,0,0,0,1,0,1,1
119,príncipe,0,0,0,0,0,0,0,0,0,0,1
120,brahmanes,0,0,0,0,0,0,0,0,0,0,1
121,pecho,0,0,0,0,0,0,0,0,0,0,1
122,madre,0,1,0,0,1,1,0,1,1,1,1
123,henchía,0,0,0,0,0,0,0,0,0,0,1
124,satisfacción,0,0,0,0,0,0,0,0,0,0,1
125,verlo,0,0,0,0,0,0,0,0,0,0,1
126,caminar,0,0,0,0,0,0,0,0,0,0,1
127,sentarse,0,0,0,0,0,0,0,0,0,0,1
128,incorporarse,0,0,0,0,0,0,0,0,0,0,1
129,siddhartha,0,0,0,0,0,0,0,0,0,0,1
130,joven,0,1,0,0,1,0,1,0,0,1,1
131,hermoso,0,0,0,0,0,0,0,0,0,0,1
132,fuerte,0,0,0,0,0,0,0,0,0,0,1
133,esbeltas,0,0,0,0,0,0,0,0,0,0,1
134,piernas,0,0,0,0,0,0,0,0,0,0,1
135,saludaba,0,0,0,0,0,0,0,0,0,0,1
136,perfecta,0,0,0,0,0,0,0,0,0,0,1
137,gracia,0,0,0,0,0,0,0,0,0,1,1
138,amor,0,0,0,0,1,0,0,0,0,1,1
139,agitaba,0,0,0,0,0,0,0,0,0,0,1
140,joven,0,1,0,0,1,0,1,0,0,1,1
141,corazón,0,0,0,0,0,0,0,0,0,0,1
142,hijas,0,0,0,0,0,0,0,0,0,0,1
143,brahmanes,0,0,0,0,0,0,0,0,0,0,1
144,siddhartha,0,0,0,0,0,0,0,0,0,0,1
145,joven,0,1,0,0,1,0,1,0,0,1,1
146,luminosa,0,0,0,0,0,0,0,0,0,0,1
147,frente,0,0,0,0,0,0,0,0,0,0,1
148,mirada,0,0,0,0,0,0,0,0,0,0,1
149,real,0,0,0,0,0,0,0,1,0,2,1
150,gráciles,0,0,0,0,0,0,0,0,0,0,1
151,caderas,0,0,0,0,0,0,0,0,0,0,1
152,paseaba,0,0,0,0,0,0,0,0,0,0,1
153,callejas,0,0,0,0,0,0,0,0,0,0,1
154,ciudad,0,0,0,0,0,0,0,0,0,0,1
155,quería,0,0,0,0,0,0,0,0,0,0,1
156,govinda,0,0,0,0,0,0,0,0,0,0,1
157,amigo,0,1,0,0,2,0,0,2,0,2,1
158,hijo,0,0,0,0,0,0,0,0,0,0,1
159,brahmán,0,0,0,0,0,0,0,0,0,0,1
160,amaba,0,0,0,0,0,0,0,0,0,0,1
161,ojos,0,0,0,0,0,0,0,0,0,0,1
162,dulce,0,1,0,0,1,0,1,1,0,1,1
163,voz,0,0,0,0,0,0,0,0,0,0,1
164,siddhartha,0,0,0,0,0,0,0,0,0,0,1
165,manera,0,0,0,0,0,0,0,0,0,0,1
166,andar,0,0,0,0,0,0,0,0,0,0,1
167,gracia,0,0,0,0,0,0,0,0,0,1,1
168,perfecta,0,0,0,0,0,0,0,0,0,0,1
169,movimientos,0,0,0,0,0,0,0,0,0,0,1
170,amaba,0,0,0,0,0,0,0,0,0,0,1
171,cuanto,0,0,0,0,0,0,0,0,0,0,1
172,amigo,0,1,0,0,2,0,0,2,0,2,1
173,hacía,0,0,0,0,0,0,0,0,0,0,1
174,decía,0,0,0,0,0,0,0,0,0,0,1
175,encima,0,0,0,0,0,0,0,0,0,0,1
176,apreciaba,0,0,0,0,0,0,0,0,0,0,1
177,espíritu,0,0,0,0,0,0,0,0,0,0,1
178,ideas,0,0,0,0,0,0,0,0,0,0,1
179,vigorosas,0,0,0,0,0,0,0,0,0,0,1
180,elevadas,0,0,0,0,0,0,0,0,0,0,1
181,ardiente,0,1,0,0,1,0,0,0,0,1,1
182,voluntad,0,0,0,0,0,0,0,0,0,0,1
183,vocación,0,0,0,0,0,0,0,0,0,0,1
184,sublime,0,0,0,0,0,0,0,0,0,0,1
185,pues,0,0,0,0,0,0,0,0,0,0,1
186,govinda,0,0,0,0,0,0,0,0,0,0,1
187,pensaba,0,0,0,0,0,0,0,0,0,0,1
188,nunca,0,0,0,0,0,0,0,0,0,0,1
189,brahmán,0,0,0,0,0,0,0,0,0,0,1
190,común,0,0,0,0,0,0,0,0,0,0,1
191,corriente,0,0,0,0,0,0,0,0,0,0,1
192,indolente,0,0,0,0,0,0,0,0,1,0,1
193,sacrificador,0,0,0,0,0,0,0,0,0,0,1
194,ávido,0,0,0,0,0,0,0,0,0,0,1
195,mercader,0,0,0,0,0,0,0,0,0,0,1
196,ensalmos,0,0,0,0,0,0,0,0,0,0,1
197,orador,0,0,0,0,0,0,0,0,0,0,1
198,vacuo,0,0,1,0,0,0,0,0,1,0,1
199,vanidoso,0,0,0,0,0,0,0,0,0,0,1
200,sacerdote,0,0,0,0,0,0,0,1,0,1,1
201,maligno,2,0,1,1,0,0,0,0,2,0,1
202,astuto,1,0,1,1,0,0,0,0,1,1,1
203,tampoco,0,0,0,0,0,0,0,0,0,0,1
204,corderos,0,0,0,0,0,0,0,0,0,0,1
205,bonachones,0,0,0,0,0,0,0,0,0,0,1
206,necios,0,0,0,0,0,0,0,0,0,0,1
207,integran,0,0,0,0,0,0,0,0,0,0,1
208,gran,0,0,0,0,0,0,0,0,0,0,1
209,rebaño,0,0,0,0,0,0,0,0,0,0,1
210,tampoco,0,0,0,0,0,0,0,0,0,0,1
211,govinda,0,0,0,0,0,0,0,0,0,0,1
212,deseaba,0,0,0,0,0,0,0,0,0,0,1
213,ser,0,0,0,0,0,0,0,0,0,0,1
214,así,0,0,0,0,0,0,0,0,0,1,1
215,enorme,0,0,0,0,0,0,0,0,0,0,1
